timestamp,catalogue-db_1/CPU_usage,catalogue-db_1/MEM_usage,catalogue-db_1/Cached_MEM_usage,catalogue-db_1/NET_Input,catalogue-db_1/NET_Output,catalogue-db_1/FS_reads,catalogue_1/CPU_usage,catalogue_1/MEM_usage,catalogue_1/Cached_MEM_usage,catalogue_1/NET_Input,catalogue_1/NET_Output,catalogue_1/FS_reads,catalogue:80/request_duration_seconds_count,catalogue:80/request_duration_seconds_bucket
1.54E+09,0.014828165,2.85E+08,1.68E+07,0,0,0,0.015399999,2.20E+07,5824512,65,432.0363636,0,0.2,2.381818182
1.54E+09,0.015745467,2.85E+08,1.68E+07,0,0,0,0.015744843,2.20E+07,5824512,65,431.8545455,0,0.2,2.381818182
1.54E+09,0.01588064,2.85E+08,1.68E+07,0,0,0,0.015155745,2.20E+07,5824512,65,431.6909091,0,0.2,2.381818182
1.54E+09,0.0155271,2.85E+08,1.68E+07,0,0,0,0.015329745,2.20E+07,5824512,65,431.6363636,0,0.2,2.381818182
1.54E+09,0.015064622,2.85E+08,1.68E+07,0,0,0,0.015951317,2.20E+07,5824512,65,431.5454545,0,0.2,2.381818182
1.54E+09,0.015000026,2.85E+08,1.68E+07,0,0,0,0.015132714,2.20E+07,5824512,65,431.2,0,0.2,2.381818182
1.54E+09,0.014725206,2.85E+08,1.68E+07,0,0,0,0.015137004,2.20E+07,5824512,65,431.0727273,0,0.2,2.381818182
1.54E+09,0.015420717,2.85E+08,1.68E+07,0,0,0,0.01715714,2.20E+07,5824512,65,431.1818182,0,0.2,2.381818182
1.54E+09,0.015582406,2.85E+08,1.68E+07,0,0,0,0.01681642,2.20E+07,5824512,65,431.1454545,0,0.2,2.381818182
1.54E+09,0.016186913,2.85E+08,1.68E+07,0,0,0,0.017014415,2.21E+07,5824512,65,431.1272727,0,0.199996364,2.381774877
1.54E+09,0.015878734,2.85E+08,1.68E+07,0,0,0,0.015999095,2.20E+07,5824512,65,431.4181818,0,0.2,2.381818182
1.54E+09,0.015998184,2.85E+08,1.68E+07,0,0,0,0.015692624,2.20E+07,5824512,65,431.4363636,0,0.199996364,2.381774877
1.54E+09,0.015726032,2.85E+08,1.68E+07,0,0,0,0.013620685,2.20E+07,5824512,65,431.2181818,0,0.2,2.4
1.54E+09,0.014811638,2.85E+08,1.68E+07,0,0,0,0.013511524,2.20E+07,5824512,64.99763645,431.0752336,0,0.2,2.4
1.54E+09,0.014557249,2.85E+08,1.68E+07,0,0,0,0.017373492,2.20E+07,5824512,70.90909091,470.1636364,0,0.2,2.4
1.54E+09,0.014072632,2.85E+08,1.68E+07,0,0,0,0.015075574,2.20E+07,5824512,65,430.8,0,0.2,2.4
1.54E+09,0.013965005,2.85E+08,1.68E+07,0,0,0,0.015407069,2.20E+07,5824512,65,430.9636364,0,0.2,2.4
1.54E+09,0.014102629,2.85E+08,1.68E+07,0,0,0,0.014798098,2.20E+07,5824512,65,431.1090909,0,0.2,2.4
1.54E+09,0.014677161,2.85E+08,1.68E+07,0,0,0,0.016134541,2.20E+07,5824512,65,431.4,0,0.2,2.4
1.54E+09,0.014257034,2.85E+08,1.68E+07,0,0,0,0.016381078,2.20E+07,5824512,65,431.4909091,0,0.2,2.4
1.54E+09,0.015140454,2.85E+08,1.68E+07,0,0,0,0.015110098,2.20E+07,5824512,64.9988182,431.3921565,0,0.2,2.4
1.54E+09,0.016717684,2.85E+08,1.68E+07,0,0,0,0.016313742,2.20E+07,5824512,65,431.6181818,0,0.2,2.4
1.54E+09,0.016664279,2.85E+08,1.68E+07,0,0,0,0.015587173,2.20E+07,5824512,65,431.4,0,0.2,2.4
1.54E+09,0.015885555,2.85E+08,1.68E+07,0,0,0,0.016802182,2.20E+07,5824512,70.90909091,470.5272727,0,0.200003636,2.400043637
1.54E+09,0.015751791,2.85E+08,1.68E+07,0,0,0,0.015131466,2.20E+07,5824512,65.00118184,431.3351152,0,0.2,2.4
1.54E+09,0.014981261,2.85E+08,1.68E+07,0,0,0,0.014887539,2.20E+07,5824512,65,431.5454545,0,0.2,2.4
1.54E+09,0.014218691,2.85E+08,1.68E+07,0,0,0,0.014142824,2.20E+07,5824512,65,431.6909091,0,0.2,2.4
1.54E+09,0.013190328,2.85E+08,1.68E+07,0,0,0,0.015377881,2.20E+07,5824512,70.90909091,471,0,0.2,2.4
1.54E+09,0.013132089,2.85E+08,1.68E+07,0,0,0,0.012949394,2.20E+07,5824512,65,432.0909091,0,0.2,2.381818182
1.54E+09,0.013069235,2.85E+08,1.68E+07,0,0,0,0.01443358,2.20E+07,5824512,65,432.2,0,0.2,2.381818182
1.54E+09,0.013240006,2.85E+08,1.68E+07,0,0,0,0.015366122,2.20E+07,5824512,65,432.1272727,0,0.2,2.381818182
1.54E+09,0.012939031,2.85E+08,1.68E+07,0,0,0,0.015657897,2.20E+07,5824512,65,431.9454545,0,0.2,2.381818182
1.54E+09,0.013646278,2.85E+08,1.68E+07,0,0,0,0.016522006,2.20E+07,5824512,65,431.5818182,0,0.2,2.381818182
1.54E+09,0.014384363,2.85E+08,1.68E+07,0,0,0,0.017021077,2.20E+07,5824512,65,431.4727273,0,0.2,2.363636364
1.54E+09,0.014427291,2.85E+08,1.68E+07,0,0,0,0.015793426,2.20E+07,5824512,65.00118184,431.2078401,0,0.2,2.381818182
1.54E+09,0.015155556,2.85E+08,1.68E+07,0,0,0,0.014362607,2.20E+07,5824512,65,431.1272727,0,0.2,2.381818182
